player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
João Victor Gomes da Silva,a,100.0,100.0,4.9,2,2.2,2.2,20
Tom King,a,,,4.0,0,0.0,0.0,20
Mario Lemina,a,100.0,25.0,4.9,1,0.2,0.1,20
Pedro Cardoso de Lima,a,,,3.9,0,0.0,0.0,20
Daniel Castelo Podence,u,0.0,0.0,5.5,0,0.0,0.0,20
Rodrigo Martins Gomes,a,,,5.2,2,3.0,3.0,20
André Trindade da Costa Neto,a,100.0,75.0,5.0,0,2.0,1.5,20
Carlos Roberto Forbs Borges,a,,,5.5,1,0.8,0.8,20
Alfie Pond,a,,,3.9,0,0.0,0.0,20
Sandro Tonali,a,100.0,100.0,5.5,9,4.5,5.0,23
