name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Jack Fletcher,a,,,4.5,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,45
Harry Amass,a,,,4.0,0,0.0,0.0,17,DEF,Man Utd,0.0,0,0,0,40
Jayce Fitzgerald,a,,,4.5,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,45
Godwill Kukonki,a,,,4.0,0,0.0,0.0,17,DEF,Man Utd,0.0,0,0,0,40
Alex Murphy,a,,,4.0,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,40
Miguel Almirón Rejala,a,,,5.5,1,0.4,0.4,17,MID,Newcastle,0.3,17,0,1,55
Harvey Barnes,a,,,6.1,1,2.4,2.4,17,MID,Newcastle,2.2,26,0,1,62
Sven Botman,d,50.0,0.0,4.4,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,44
Bruno Guimarães Rodriguez Moura,a,100.0,100.0,6.1,7,5.2,5.2,17,MID,Newcastle,4.7,79,1,7,61
Dan Burn,a,100.0,100.0,4.4,6,3.4,3.4,17,DEF,Newcastle,2.8,90,1,6,44
Martin Dúbravka,a,100.0,100.0,4.2,6,2.4,2.4,17,GK,Newcastle,2.0,90,1,6,42
Anthony Gordon,a,100.0,100.0,7.2,6,5.2,5.2,17,MID,Newcastle,4.7,90,1,6,72
Lewis Hall,a,,,4.7,7,5.2,5.2,17,DEF,Newcastle,4.5,90,1,7,46
Isaac Hayden,a,,,4.4,0,0.0,0.0,17,MID,Newcastle,0.0,0,0,0,44
Alexander Isak,a,100.0,100.0,9.0,17,9.6,9.6,17,FWD,Newcastle,8.3,72,1,17,88
Jacob Murphy,a,100.0,100.0,5.0,13,7.0,7.0,17,MID,Newcastle,6.0,63,1,13,49
Joelinton Cássio Apolinário de Lira,d,75.0,0.0,6.0,0,1.0,0.0,17,MID,Newcastle,0.0,0,0,0,60
Lloyd Kelly,a,,,4.2,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,43
Emil Krafth,i,0.0,0.0,4.3,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,43
Garang Kuol,a,,,4.4,0,0.0,0.0,17,MID,Newcastle,0.0,0,0,0,44
Jamaal Lascelles,i,0.0,0.0,4.5,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,45
Jamal Lewis,u,0.0,0.0,4.0,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,40
Tino Livramento,a,,,4.5,6,3.0,3.0,17,DEF,Newcastle,2.7,63,1,6,45
Sean Longstaff,a,,,4.7,1,1.2,1.2,17,MID,Newcastle,1.2,26,0,1,47
Lewis Miley,a,100.0,100.0,5.0,1,0.2,0.2,17,MID,Newcastle,0.2,10,0,1,50
Odysseas Vlachodimos,a,,,4.3,0,0.0,0.0,17,GK,Newcastle,0.0,0,0,0,43
Nick Pope,i,0.0,0.0,4.9,0,0.0,0.0,17,GK,Newcastle,0.0,0,0,0,49
John Ruddy,a,,,4.0,0,0.0,0.0,17,GK,Newcastle,0.0,0,0,0,40
Fabian Schär,a,100.0,100.0,5.4,6,4.2,4.2,17,DEF,Newcastle,3.7,90,1,6,54
Matt Targett,a,100.0,100.0,4.0,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,40
Sandro Tonali,a,100.0,100.0,5.5,3,2.0,2.0,17,MID,Newcastle,1.8,90,1,3,55
Kieran Trippier,a,100.0,100.0,5.6,1,0.6,0.6,17,DEF,Newcastle,0.7,26,0,1,56
Joe White,u,0.0,0.0,4.5,0,0.0,0.0,17,MID,Newcastle,0.0,0,0,0,45
Joe Willock,a,100.0,100.0,4.8,3,1.4,1.4,17,MID,Newcastle,1.3,63,1,3,48
Callum Wilson,i,0.0,0.0,6.9,0,0.0,0.0,17,FWD,Newcastle,0.0,0,0,0,69
Miodrag Pivaš,u,0.0,0.0,4.0,0,0.0,0.0,17,DEF,Newcastle,0.0,0,0,0,40
William Osula,a,,,4.9,0,0.2,0.2,17,FWD,Newcastle,0.2,0,0,0,49
Álex Moreno Lopera,a,100.0,100.0,4.4,0,-0.1,0.4,17,DEF,Nott'm Forest,0.5,0,0,0,44
Ola Aina,a,100.0,100.0,5.0,15,4.9,5.4,17,DEF,Nott'm Forest,4.5,90,1,15,49
Elliot Anderson,a,100.0,100.0,5.0,3,3.3,3.8,17,MID,Nott'm Forest,3.2,63,1,3,50
Taiwo Awoniyi,a,,,5.5,1,0.1,0.6,17,FWD,Nott'm Forest,0.8,1,0,1,55
Willy Boly,a,100.0,100.0,4.2,0,-0.3,0.2,17,DEF,Nott'm Forest,0.2,0,0,0,42
